Number2;Item;German;French;Spanish;Italian;Japanese;Korean;Chinese;Chinese2
0987;{Pikachu} Candy;Pikachu-Bonbon;Bonbon Pikachu;Caramelo Pikachu;Caramella Pikachu;ピカチュウのアメ;피카츄의사탕;皮卡丘的糖果;皮卡丘的糖果
0988;{Sandshrew} Candy;Sandan-Bonbon;Bonbon Sabelette;Caramelo Sandshrew;Caramella Sandshrew;サンドのアメ;모래두지의사탕;穿山鼠的糖果;穿山鼠的糖果
0989;{Nidoran[Character1:female ]} Candy;Nidoran[Character1:female ]-Bonbon;Bonbon Nidoran[Character1:female ];Caramelo Nidoran[Character1:female ];Caramella Nidoran[Character1:female ];ニドラン♀のアメ;니드런♀의사탕;尼多兰的糖果;尼多蘭的糖果
0990;{Nidoran[Character1:male ]} Candy;Nidoran[Character1:male ]-Bonbon;Bonbon Nidoran[Character1:male ];Caramelo Nidoran[Character1:male ];Caramella Nidoran[Character1:male ];ニドラン♂のアメ;니드런♂의사탕;尼多朗的糖果;尼多朗的糖果
0991;{Clefairy} Candy;Piepi-Bonbon;Bonbon Mélofée;Caramelo Clefairy;Caramella Clefairy;ピッピのアメ;삐삐의사탕;皮皮的糖果;皮皮的糖果
0992;{Vulpix} Candy;Vulpix-Bonbon;Bonbon Goupix;Caramelo Vulpix;Caramella Vulpix;ロコンのアメ;식스테일의사탕;六尾的糖果;六尾的糖果
0993;{Jigglypuff} Candy;Pummeluff-Bonbon;Bonbon Rondoudou;Caramelo Jigglypuff;Caramella Jigglypuff;プリンのアメ;푸린의사탕;胖丁的糖果;胖丁的糖果
0994;{Zubat} Candy;Zubat-Bonbon;Bonbon Nosferapti;Caramelo Zubat;Caramella Zubat;ズバットのアメ;주뱃의사탕;超音蝠的糖果;超音蝠的糖果
0995;{Oddish} Candy;Myrapla-Bonbon;Bonbon Mystherbe;Caramelo Oddish;Caramella Oddish;ナゾノクサのアメ;뚜벅쵸의사탕;走路草的糖果;走路草的糖果
0996;{Paras} Candy;Paras-Bonbon;Bonbon Paras;Caramelo Paras;Caramella Paras;パラスのアメ;파라스의사탕;派拉斯的糖果;派拉斯的糖果
0997;{Venonat} Candy;Bluzuk-Bonbon;Bonbon Mimitoss;Caramelo Venonat;Caramella Venonat;コンパンのアメ;콘팡의사탕;毛球的糖果;毛球的糖果
0998;{Diglett} Candy;Digda-Bonbon;Bonbon Taupiqueur;Caramelo Diglett;Caramella Diglett;ディグダのアメ;디그다의사탕;地鼠的糖果;地鼠的糖果
0999;{Meowth} Candy;Mauzi-Bonbon;Bonbon Miaouss;Caramelo Meowth;Caramella Meowth;ニャースのアメ;나옹의사탕;喵喵的糖果;喵喵的糖果
1000;{Psyduck} Candy;Enton-Bonbon;Bonbon Psykokwak;Caramelo Psyduck;Caramella Psyduck;コダックのアメ;고라파덕의사탕;可达鸭的糖果;可達鴨的糖果
1001;{Mankey} Candy;Menki-Bonbon;Bonbon Férosinge;Caramelo Mankey;Caramella Mankey;マンキーのアメ;망키의사탕;猴怪的糖果;猴怪的糖果
1002;{Growlithe} Candy;Fukano-Bonbon;Bonbon Caninos;Caramelo Growlithe;Caramella Growlithe;ガーディのアメ;가디의사탕;卡蒂狗的糖果;卡蒂狗的糖果
1003;{Poliwag} Candy;Quapsel-Bonbon;Bonbon Ptitard;Caramelo Poliwag;Caramella Poliwag;ニョロモのアメ;발챙이의사탕;蚊香蝌蚪的糖果;蚊香蝌蚪的糖果
1004;{Abra} Candy;Abra-Bonbon;Bonbon Abra;Caramelo Abra;Caramella Abra;ケーシィのアメ;캐이시의사탕;凯西的糖果;凱西的糖果
1005;{Machop} Candy;Machollo-Bonbon;Bonbon Machoc;Caramelo Machop;Caramella Machop;ワンリキーのアメ;알통몬의사탕;腕力的糖果;腕力的糖果
1006;{Bellsprout} Candy;Knofensa-Bonbon;Bonbon Chétiflor;Caramelo Bellsprout;Caramella Bellsprout;マダツボミのアメ;모다피의사탕;喇叭芽的糖果;喇叭芽的糖果
1007;{Tentacool} Candy;Tentacha-Bonbon;Bonbon Tentacool;Caramelo Tentacool;Caramella Tentacool;メノクラゲのアメ;왕눈해의사탕;玛瑙水母的糖果;瑪瑙水母的糖果
1008;{Geodude} Candy;Kleinstein-Bonbon;Bonbon Racaillou;Caramelo Geodude;Caramella Geodude;イシツブテのアメ;꼬마돌의사탕;小拳石的糖果;小拳石的糖果
1009;{Ponyta} Candy;Ponita-Bonbon;Bonbon Ponyta;Caramelo Ponyta;Caramella Ponyta;ポニータのアメ;포니타의사탕;小火马的糖果;小火馬的糖果
1010;{Slowpoke} Candy;Flegmon-Bonbon;Bonbon Ramoloss;Caramelo Slowpoke;Caramella Slowpoke;ヤドンのアメ;야돈의사탕;呆呆兽的糖果;呆呆獸的糖果
1011;{Magnemite} Candy;Magnetilo-Bonbon;Bonbon Magnéti;Caramelo Magnemite;Caramella Magnemite;コイルのアメ;코일의사탕;小磁怪的糖果;小磁怪的糖果
1012;{Farfetch'd} Candy;Porenta-Bonbon;Bonbon Canarticho;Caramelo Farfetch'd;Caramella Farfetch'd;カモネギのアメ;파오리의사탕;大葱鸭的糖果;大蔥鴨的糖果
1013;{Doduo} Candy;Dodu-Bonbon;Bonbon Doduo;Caramelo Doduo;Caramella Doduo;ドードーのアメ;두두의사탕;嘟嘟的糖果;嘟嘟的糖果
1014;{Seel} Candy;Jurob-Bonbon;Bonbon Otaria;Caramelo Seel;Caramella Seel;パウワウのアメ;쥬쥬의사탕;小海狮的糖果;小海獅的糖果
1015;{Grimer} Candy;Sleima-Bonbon;Bonbon Tadmorv;Caramelo Grimer;Caramella Grimer;ベトベターのアメ;질퍽이의사탕;臭泥的糖果;臭泥的糖果
1016;{Shellder} Candy;Muschas-Bonbon;Bonbon Kokiyas;Caramelo Shellder;Caramella Shellder;シェルダーのアメ;셀러의사탕;大舌贝的糖果;大舌貝的糖果
1017;{Gastly} Candy;Nebulak-Bonbon;Bonbon Fantominus;Caramelo Gastly;Caramella Gastly;ゴースのアメ;고오스의사탕;鬼斯的糖果;鬼斯的糖果
1018;{Onix} Candy;Onix-Bonbon;Bonbon Onix;Caramelo Onix;Caramella Onix;イワークのアメ;롱스톤의사탕;大岩蛇的糖果;大岩蛇的糖果
1019;{Drowzee} Candy;Traumato-Bonbon;Bonbon Soporifik;Caramelo Drowzee;Caramella Drowzee;スリープのアメ;슬리프의사탕;催眠貘的糖果;催眠貘的糖果
1020;{Krabby} Candy;Krabby-Bonbon;Bonbon Krabby;Caramelo Krabby;Caramella Krabby;クラブのアメ;크랩의사탕;大钳蟹的糖果;大鉗蟹的糖果
1021;{Voltorb} Candy;Voltobal-Bonbon;Bonbon Voltorbe;Caramelo Voltorb;Caramella Voltorb;ビリリダマのアメ;찌리리공의사탕;霹雳电球的糖果;霹靂電球的糖果
1022;{Exeggcute} Candy;Owei-Bonbon;Bonbon Noeunoeuf;Caramelo Exeggcute;Caramella Exeggcute;タマタマのアメ;아라리의사탕;蛋蛋的糖果;蛋蛋的糖果
1023;{Cubone} Candy;Tragosso-Bonbon;Bonbon Osselait;Caramelo Cubone;Caramella Cubone;カラカラのアメ;탕구리의사탕;卡拉卡拉的糖果;卡拉卡拉的糖果
1024;{Hitmonlee} Candy;Kicklee-Bonbon;Bonbon Kicklee;Caramelo Hitmonlee;Caramella Hitmonlee;サワムラーのアメ;시라소몬의사탕;飞腿郎的糖果;飛腿郎的糖果
1025;{Hitmonchan} Candy;Nockchan-Bonbon;Bonbon Tygnon;Caramelo Hitmonchan;Caramella Hitmonchan;エビワラーのアメ;홍수몬의사탕;快拳郎的糖果;快拳郎的糖果
1026;{Lickitung} Candy;Schlurp-Bonbon;Bonbon Excelangue;Caramelo Lickitung;Caramella Lickitung;ベロリンガのアメ;내루미의사탕;大舌头的糖果;大舌頭的糖果
1027;{Koffing} Candy;Smogon-Bonbon;Bonbon Smogo;Caramelo Koffing;Caramella Koffing;ドガースのアメ;또가스의사탕;瓦斯弹的糖果;瓦斯彈的糖果
1028;{Rhyhorn} Candy;Rihorn-Bonbon;Bonbon Rhinocorne;Caramelo Rhyhorn;Caramella Rhyhorn;サイホーンのアメ;뿔카노의사탕;独角犀牛的糖果;獨角犀牛的糖果
1029;{Chansey} Candy;Chaneira-Bonbon;Bonbon Leveinard;Caramelo Chansey;Caramella Chansey;ラッキーのアメ;럭키의사탕;吉利蛋的糖果;吉利蛋的糖果
1030;{Tangela} Candy;Tangela-Bonbon;Bonbon Saquedeneu;Caramelo Tangela;Caramella Tangela;モンジャラのアメ;덩쿠리의사탕;蔓藤怪的糖果;蔓藤怪的糖果
1031;{Kangaskhan} Candy;Kangama-Bonbon;Bonbon Kangourex;Caramelo Kangaskhan;Caramella Kangaskhan;ガルーラのアメ;캥카의사탕;袋兽的糖果;袋獸的糖果
1032;{Horsea} Candy;Seeper-Bonbon;Bonbon Hypotrempe;Caramelo Horsea;Caramella Horsea;タッツーのアメ;쏘드라의사탕;墨海马的糖果;墨海馬的糖果
1033;{Goldeen} Candy;Goldini-Bonbon;Bonbon Poissirène;Caramelo Goldeen;Caramella Goldeen;トサキントのアメ;콘치의사탕;角金鱼的糖果;角金魚的糖果
1034;{Staryu} Candy;Sterndu-Bonbon;Bonbon Stari;Caramelo Staryu;Caramella Staryu;ヒトデマンのアメ;별가사리의사탕;海星星的糖果;海星星的糖果
1035;{Mr. Mime} Candy;Pantimos-Bonbon;Bonbon M. Mime;Caramelo Mr. Mime;Caramella Mr. Mime;バリヤードのアメ;마임맨의사탕;魔墙人偶的糖果;魔牆人偶的糖果
1036;{Scyther} Candy;Sichlor-Bonbon;Bonbon Insécateur;Caramelo Scyther;Caramella Scyther;ストライクのアメ;스라크의사탕;飞天螳螂的糖果;飛天螳螂的糖果
1037;{Jynx} Candy;Rossana-Bonbon;Bonbon Lippoutou;Caramelo Jynx;Caramella Jynx;ルージュラのアメ;루주라의사탕;迷唇姐的糖果;迷唇姐的糖果
1038;{Electabuzz} Candy;Elektek-Bonbon;Bonbon Élektek;Caramelo Electabuzz;Caramella Electabuzz;エレブーのアメ;에레브의사탕;电击兽的糖果;電擊獸的糖果
1039;{Pinsir} Candy;Pinsir-Bonbon;Bonbon Scarabrute;Caramelo Pinsir;Caramella Pinsir;カイロスのアメ;쁘사이저의사탕;凯罗斯的糖果;凱羅斯的糖果
1040;{Tauros} Candy;Tauros-Bonbon;Bonbon Tauros;Caramelo Tauros;Caramella Tauros;ケンタロスのアメ;켄타로스의사탕;肯泰罗的糖果;肯泰羅的糖果
1041;{Magikarp} Candy;Karpador-Bonbon;Bonbon Magicarpe;Caramelo Magikarp;Caramella Magikarp;コイキングのアメ;잉어킹의사탕;鲤鱼王的糖果;鯉魚王的糖果
1042;{Lapras} Candy;Lapras-Bonbon;Bonbon Lokhlass;Caramelo Lapras;Caramella Lapras;ラプラスのアメ;라프라스의사탕;拉普拉斯的糖果;拉普拉斯的糖果
1043;{Ditto} Candy;Ditto-Bonbon;Bonbon Métamorph;Caramelo Ditto;Caramella Ditto;メタモンのアメ;메타몽의사탕;百变怪的糖果;百變怪的糖果
1044;{Eevee} Candy;Evoli-Bonbon;Bonbon Évoli;Caramelo Eevee;Caramella Eevee;イーブイのアメ;이브이의사탕;伊布的糖果;伊布的糖果
1045;{Porygon} Candy;Porygon-Bonbon;Bonbon Porygon;Caramelo Porygon;Caramella Porygon;ポリゴンのアメ;폴리곤의사탕;多边兽的糖果;多邊獸的糖果
1046;{Omanyte} Candy;Amonitas-Bonbon;Bonbon Amonita;Caramelo Omanyte;Caramella Omanyte;オムナイトのアメ;암나이트의사탕;菊石兽的糖果;菊石獸的糖果
1047;{Kabuto} Candy;Kabuto-Bonbon;Bonbon Kabuto;Caramelo Kabuto;Caramella Kabuto;カブトのアメ;투구의사탕;化石盔的糖果;化石盔的糖果
1048;{Aerodactyl} Candy;Aerodactyl-Bonbon;Bonbon Ptéra;Caramelo Aerodactyl;Caramella Aerodactyl;プテラのアメ;프테라의사탕;化石翼龙的糖果;化石翼龍的糖果
1049;{Snorlax} Candy;Relaxo-Bonbon;Bonbon Ronflex;Caramelo Snorlax;Caramella Snorlax;カビゴンのアメ;잠만보의사탕;卡比兽的糖果;卡比獸的糖果
1050;{Articuno} Candy;Arktos-Bonbon;Bonbon Artikodin;Caramelo Articuno;Caramella Articuno;フリーザーのアメ;프리져의사탕;急冻鸟的糖果;急凍鳥的糖果
1051;{Zapdos} Candy;Zapdos-Bonbon;Bonbon Électhor;Caramelo Zapdos;Caramella Zapdos;サンダーのアメ;썬더의사탕;闪电鸟的糖果;閃電鳥的糖果
1052;{Moltres} Candy;Lavados-Bonbon;Bonbon Sulfura;Caramelo Moltres;Caramella Moltres;ファイヤーのアメ;파이어의사탕;火焰鸟的糖果;火焰鳥的糖果
1053;{Dratini} Candy;Dratini-Bonbon;Bonbon Minidraco;Caramelo Dratini;Caramella Dratini;ミニリュウのアメ;미뇽의사탕;迷你龙的糖果;迷你龍的糖果
1054;{Mewtwo} Candy;Mewtu-Bonbon;Bonbon Mewtwo;Caramelo Mewtwo;Caramella Mewtwo;ミュウツーのアメ;뮤츠의사탕;超梦的糖果;超夢的糖果
1055;{Mew} Candy;Mew-Bonbon;Bonbon Mew;Caramelo Mew;Caramella Mew;ミュウのアメ;뮤의사탕;梦幻的糖果;夢幻的糖果
1056;Meltan Candy;Meltan-Bonbon;Bonbon Meltan;Caramelo Meltan;Caramella Meltan;メルタンのアメ;멜탄의사탕;美录坦的糖果;美錄坦的糖果
1057;Magmar Candy;Magmar-Bonbon;Bonbon Magmar;Caramelo Magmar;Caramella Magmar;ブーバーのアメ;마그마의사탕;鸭嘴火兽的糖果;鴨嘴火獸的糖果
1058;???;???;???;(?);???;？？？;???;？？？;？？？
1059;???;???;???;(?);???;？？？;???;？？？;？？？
1060;???;???;???;(?);???;？？？;???;？？？;？？？
1061;???;???;???;(?);???;？？？;???;？？？;？？？
1062;???;???;???;(?);???;？？？;???;？？？;？？？
1063;???;???;???;(?);???;？？？;???;？？？;？？？
1064;???;???;???;(?);???;？？？;???;？？？;？？？
1065;???;???;???;(?);???;？？？;???;？？？;？？？
1066;???;???;???;(?);???;？？？;???;？？？;？？？
1067;???;???;???;(?);???;？？？;???;？？？;？？？
1068;???;???;???;(?);???;？？？;???;？？？;？？？
1069;???;???;???;(?);???;？？？;???;？？？;？？？
1070;???;???;???;(?);???;？？？;???;？？？;？？？
1071;???;???;???;(?);???;？？？;???;？？？;？？？
1072;???;???;???;(?);???;？？？;???;？？？;？？？
1073;???;???;???;(?);???;？？？;???;？？？;？？？
1074;Endorsement;;;;;;;;
1075;Pokémon Box Link;;;;;;;;
1076;Wishing Star;;;;;;;;
1077;Dynamax Band;;;;;;;;
1078;???;???;???;(?);???;？？？;???;？？？;？？？
1079;???;???;???;(?);???;？？？;???;？？？;？？？
1080;Fishing Rod;;;;;;;;
1081;Rotom Bike;;;;;;;;
1082;???;???;???;(?);???;？？？;???;？？？;？？？
1083;???;???;???;(?);???;？？？;???;？？？;？？？
1084;Sausages;Würstchen;Saucisses;Salchichas;Salsicce;あらびきヴルスト;탱글탱글부어스트;粗绞肉香肠;粗絞肉香腸
1085;Bob's Food Tin;Pauls Feinkost;Conserve de Bob;Lata de Darren;Lattina Gustavo;ボブのかんづめ;밥의통조림;饱伯罐头;飽伯罐頭
1086;Bach's Food Tin;Bachs Feinkost;Conserve de Bach;Lata de Bach;Scatoletta Bach;バックのかんづめ;바크의통조림;巴哈罐头;巴哈罐頭
1087;Tin of Beans;Dosenbohnen;Haricots;Lata de Habas;Lattina fagioli;マメかん;콩통조림;豆子罐头;豆子罐頭
1088;Bread;Toastbrot;Pain de Mie;Pan de Molde;Pan carré;しょくパン;식빵;吐司面包;吐司麵包
1089;Pasta;Spaghetti;Pâtes;Pasta;Pasta;パスタ;파스타;通心粉;通心麵
1090;Mixed Mushrooms;Pilzmix;Champignons;Setas;Funghi;キノコパック;버섯팩;袋装蕈菇;袋裝蕈菇
1091;Smoke-Poke Tail;Röstrute;Queue Fumée;Cola Ahumada;Coda affumicata;しっぽのくんせい;꼬리훈제;烟熏尾巴;煙燻尾巴
1092;Large Leek;Dicker Lauch;Gros Poireau;Puerro Grueso;Grosso porro;ふといながねぎ;굵은대파;粗枝大葱;粗枝大蔥
1093;Fancy Apple;Luxusapfel;Pomme Juteuse;Manzana Selecta;Mela prelibata;とくせんリンゴ;특선사과;特选苹果;特選蘋果
1094;Brittle Bones;Feine Knochen;Os à Moelle;Huesos Finos;Ossi sottili;かぼそいホネ;가느다란뼈;细骨;細骨
1095;Pack of Potatoes;Kartoffeln;Pommes de Terre;Patatas;Patate;ポテトパック;포테이토팩;袋装土豆;袋裝洋芋
1096;Pungent Root;Uferkraut;Tubercule;Hierba Intensa;Erbe acquatiche;みずべのハーブ;물가허브팩;水边香草;水邊香草
1097;Salad Mix;Gemüse;Légumes;Verduras;Verdure;やさいパック;채소팩;袋装蔬菜;袋裝蔬菜
1098;Fried Food;Frittiertes;Fritures;Frituras;Fritto misto;フライもりあわせ;모둠튀김;炸物拼盘;炸物拼盤
1099;Boiled Egg;Gekochtes Ei;Œuf Dur;Huevo Duro;Uovo sodo;ゆでタマゴ;삶은알;水煮蛋;水煮蛋
1100;Camping Gear;;;;;;;;
1101;???;???;???;(?);???;？？？;???;？？？;？？？
1102;???;???;???;(?);???;？？？;???;？？？;？？？
1103;Rusted Sword;Rostiges Schwert;Épée Rouillée;Espada Oxidada;Spada rovinata;くちたけん;녹슨검;腐朽的剑;腐朽的劍
1104;Rusted Shield;Rostiger Schild;Bouclier Rouillé;Escudo Oxidado;Scudo rovinato;くちたたて;녹슨방패;腐朽的盾;腐朽的盾
1105;Fossilized Bird;Vogelfossil;Fossile Oiseau;Ornitofósil;Ornitofossile;カセキのトリ;화석새;化石鸟;化石鳥
1106;Fossilized Fish;Fischfossil;Fossile Poisson;Ictiofósil;Ittiofossile;カセキのサカナ;화석물고기;化石鱼;化石魚
1107;Fossilized Drake;Drachenfossil;Fossile Dragon;Dracofósil;Dracofossile;カセキのリュウ;화석용;化石龙;化石龍
1108;Fossilized Dino;Paddelfossil;Fossile Aileron;Plesiofósil;Plesiofossile;カセキのクビナガ;화석긴목;化石海兽;化石海獸
1109;Strawberry Sweet;Zucker-Erdbeere;Fraise en Sucre;Confite Fresa;Bonbonfragola;いちごアメざいく;딸기사탕공예;草莓糖饰;草莓糖飾
1110;Love Sweet;Zucker-Herz;Cœur en Sucre;Confite Corazón;Bonboncuore;ハートアメざいく;하트사탕공예;爱心糖饰;愛心糖飾
1111;Berry Sweet;Zucker-Beere;Baie en Sucre;Confite Fruto;Bonbonbosco;ベリーアメざいく;베리사탕공예;野莓糖饰;野莓糖飾
1112;Clover Sweet;Zucker-Kleeblatt;Trèfle en Sucre;Confite Trébol;Bonbonfoglio;よつばアメざいく;네잎사탕공예;幸运草糖饰;幸運草糖飾
1113;Flower Sweet;Zucker-Blume;Fleur en Sucre;Confite Flor;Bonbonfiore;おはなアメざいく;꽃사탕공예;花朵糖饰;花朵糖飾
1114;Star Sweet;Zucker-Stern;Étoile en Sucre;Confite Estrella;Bonbonstella;スターアメざいく;스타사탕공예;星星糖饰;星星糖飾
1115;Ribbon Sweet;Zucker-Schleife;Ruban en Sucre;Confite Lazo;Bonbonfiocco;リボンアメざいく;리본사탕공예;蝴蝶结糖饰;蝴蝶結糖飾
1116;Sweet Apple;Süßer Apfel;Pomme Sucrée;Manzana Dulce;Dolcepomo;あまーいりんご;달콤한사과;甜甜苹果;甜甜蘋果
1117;Tart Apple;Saurer Apfel;Pomme Acidulée;Manzana Ácida;Aspropomo;すっぱいりんご;새콤한사과;酸酸苹果;酸酸蘋果
1118;Throat Spray;Halsspray;Spray Gorge;Espray Bucal;Spray gola;のどスプレー;목스프레이;爽喉喷雾;爽喉噴霧
1119;Eject Pack;Fluchttasche;Sac Fuite;Mochila Escape;Zainofuga;だっしゅつパック;탈출팩;避难背包;避難背包
1120;Heavy-Duty Boots;Plateauschuhe;Grosses Bottes;Botas Gruesas;Scarponi robusti;あつぞこブーツ;통굽부츠;厚底靴;厚底靴
1121;Blunder Policy;Fehlschlagschutz;Assurance Échec;Seguro Fallo;Fiascopolizza;からぶりほけん;허탕보험;打空保险;打空保險
1122;Room Service;Bizarroservice;Chariot Distordu;Servicio Raro;Distorservizio;ルームサービス;룸서비스;客房服务;客房服務
1123;Utility Umbrella;Allzweckschirm;Parapluie Solide;Parasol Multiuso;Superombrello;ばんのうがさ;만능우산;万能伞;萬能傘
1124;Exp. Candy XS;EP-Bonbon XS;Bonbon Exp. XS;Caramelo Exp. XS;Caram. esp. XS;けいけんアメＸＳ;경험사탕XS;经验糖果ＸＳ;經驗糖果ＸＳ
1125;Exp. Candy S;EP-Bonbon S;Bonbon Exp. S;Caramelo Exp. S;Caram. esp. S;けいけんアメＳ;경험사탕S;经验糖果Ｓ;經驗糖果Ｓ
1126;Exp. Candy M;EP-Bonbon M;Bonbon Exp. M;Caramelo Exp. M;Caram. esp. M;けいけんアメＭ;경험사탕M;经验糖果Ｍ;經驗糖果Ｍ
1127;Exp. Candy L;EP-Bonbon L;Bonbon Exp. L;Caramelo Exp. L;Caram. esp. L;けいけんアメＬ;경험사탕L;经验糖果Ｌ;經驗糖果Ｌ
1128;Exp. Candy XL;EP-Bonbon XL;Bonbon Exp. XL;Caramelo Exp. XL;Caram. esp. XL;けいけんアメＸＬ;경험사탕XL;经验糖果ＸＬ;經驗糖果ＸＬ
1129;Dynamax Candy;Dynamax-Bonbon;Bonbon Dynamax;Caramelo Dinamax;Caramella Dynamax;ダイマックスアメ;다이맥스사탕;极巨糖果;極巨糖果
1130;TR00;TP00;DT00;DT00;DT00;わざレコード００;기술레코드00;招式记录００;招式紀錄００
1131;TR01;TP01;DT01;DT01;DT01;わざレコード０１;기술레코드01;招式记录０１;招式紀錄０１
1132;TR02;TP02;DT02;DT02;DT02;わざレコード０２;기술레코드02;招式记录０２;招式紀錄０２
1133;TR03;TP03;DT03;DT03;DT03;わざレコード０３;기술레코드03;招式记录０３;招式紀錄０３
1134;TR04;TP04;DT04;DT04;DT04;わざレコード０４;기술레코드04;招式记录０４;招式紀錄０４
1135;TR05;TP05;DT05;DT05;DT05;わざレコード０５;기술레코드05;招式记录０５;招式紀錄０５
1136;TR06;TP06;DT06;DT06;DT06;わざレコード０６;기술레코드06;招式记录０６;招式紀錄０６
1137;TR07;TP07;DT07;DT07;DT07;わざレコード０７;기술레코드07;招式记录０７;招式紀錄０７
1138;TR08;TP08;DT08;DT08;DT08;わざレコード０８;기술레코드08;招式记录０８;招式紀錄０８
1139;TR09;TP09;DT09;DT09;DT09;わざレコード０９;기술레코드09;招式记录０９;招式紀錄０９
1140;TR10;TP10;DT10;DT10;DT10;わざレコード１０;기술레코드10;招式记录１０;招式紀錄１０
1141;TR11;TP11;DT11;DT11;DT11;わざレコード１１;기술레코드11;招式记录１１;招式紀錄１１
1142;TR12;TP12;DT12;DT12;DT12;わざレコード１２;기술레코드12;招式记录１２;招式紀錄１２
1143;TR13;TP13;DT13;DT13;DT13;わざレコード１３;기술레코드13;招式记录１３;招式紀錄１３
1144;TR14;TP14;DT14;DT14;DT14;わざレコード１４;기술레코드14;招式记录１４;招式紀錄１４
1145;TR15;TP15;DT15;DT15;DT15;わざレコード１５;기술레코드15;招式记录１５;招式紀錄１５
1146;TR16;TP16;DT16;DT16;DT16;わざレコード１６;기술레코드16;招式记录１６;招式紀錄１６
1147;TR17;TP17;DT17;DT17;DT17;わざレコード１７;기술레코드17;招式记录１７;招式紀錄１７
1148;TR18;TP18;DT18;DT18;DT18;わざレコード１８;기술레코드18;招式记录１８;招式紀錄１８
1149;TR19;TP19;DT19;DT19;DT19;わざレコード１９;기술레코드19;招式记录１９;招式紀錄１９
1150;TR20;TP20;DT20;DT20;DT20;わざレコード２０;기술레코드20;招式记录２０;招式紀錄２０
1151;TR21;TP21;DT21;DT21;DT21;わざレコード２１;기술레코드21;招式记录２１;招式紀錄２１
1152;TR22;TP22;DT22;DT22;DT22;わざレコード２２;기술레코드22;招式记录２２;招式紀錄２２
1153;TR23;TP23;DT23;DT23;DT23;わざレコード２３;기술레코드23;招式记录２３;招式紀錄２３
1154;TR24;TP24;DT24;DT24;DT24;わざレコード２４;기술레코드24;招式记录２４;招式紀錄２４
1155;TR25;TP25;DT25;DT25;DT25;わざレコード２５;기술레코드25;招式记录２５;招式紀錄２５
1156;TR26;TP26;DT26;DT26;DT26;わざレコード２６;기술레코드26;招式记录２６;招式紀錄２６
1157;TR27;TP27;DT27;DT27;DT27;わざレコード２７;기술레코드27;招式记录２７;招式紀錄２７
1158;TR28;TP28;DT28;DT28;DT28;わざレコード２８;기술레코드28;招式记录２８;招式紀錄２８
1159;TR29;TP29;DT29;DT29;DT29;わざレコード２９;기술레코드29;招式记录２９;招式紀錄２９
1160;TR30;TP30;DT30;DT30;DT30;わざレコード３０;기술레코드30;招式记录３０;招式紀錄３０
1161;TR31;TP31;DT31;DT31;DT31;わざレコード３１;기술레코드31;招式记录３１;招式紀錄３１
1162;TR32;TP32;DT32;DT32;DT32;わざレコード３２;기술레코드32;招式记录３２;招式紀錄３２
1163;TR33;TP33;DT33;DT33;DT33;わざレコード３３;기술레코드33;招式记录３３;招式紀錄３３
1164;TR34;TP34;DT34;DT34;DT34;わざレコード３４;기술레코드34;招式记录３４;招式紀錄３４
1165;TR35;TP35;DT35;DT35;DT35;わざレコード３５;기술레코드35;招式记录３５;招式紀錄３５
1166;TR36;TP36;DT36;DT36;DT36;わざレコード３６;기술레코드36;招式记录３６;招式紀錄３６
1167;TR37;TP37;DT37;DT37;DT37;わざレコード３７;기술레코드37;招式记录３７;招式紀錄３７
1168;TR38;TP38;DT38;DT38;DT38;わざレコード３８;기술레코드38;招式记录３８;招式紀錄３８
1169;TR39;TP39;DT39;DT39;DT39;わざレコード３９;기술레코드39;招式记录３９;招式紀錄３９
1170;TR40;TP40;DT40;DT40;DT40;わざレコード４０;기술레코드40;招式记录４０;招式紀錄４０
1171;TR41;TP41;DT41;DT41;DT41;わざレコード４１;기술레코드41;招式记录４１;招式紀錄４１
1172;TR42;TP42;DT42;DT42;DT42;わざレコード４２;기술레코드42;招式记录４２;招式紀錄４２
1173;TR43;TP43;DT43;DT43;DT43;わざレコード４３;기술레코드43;招式记录４３;招式紀錄４３
1174;TR44;TP44;DT44;DT44;DT44;わざレコード４４;기술레코드44;招式记录４４;招式紀錄４４
1175;TR45;TP45;DT45;DT45;DT45;わざレコード４５;기술레코드45;招式记录４５;招式紀錄４５
1176;TR46;TP46;DT46;DT46;DT46;わざレコード４６;기술레코드46;招式记录４６;招式紀錄４６
1177;TR47;TP47;DT47;DT47;DT47;わざレコード４７;기술레코드47;招式记录４７;招式紀錄４７
1178;TR48;TP48;DT48;DT48;DT48;わざレコード４８;기술레코드48;招式记录４８;招式紀錄４８
1179;TR49;TP49;DT49;DT49;DT49;わざレコード４９;기술레코드49;招式记录４９;招式紀錄４９
1180;TR50;TP50;DT50;DT50;DT50;わざレコード５０;기술레코드50;招式记录５０;招式紀錄５０
1181;TR51;TP51;DT51;DT51;DT51;わざレコード５１;기술레코드51;招式记录５１;招式紀錄５１
1182;TR52;TP52;DT52;DT52;DT52;わざレコード５２;기술레코드52;招式记录５２;招式紀錄５２
1183;TR53;TP53;DT53;DT53;DT53;わざレコード５３;기술레코드53;招式记录５３;招式紀錄５３
1184;TR54;TP54;DT54;DT54;DT54;わざレコード５４;기술레코드54;招式记录５４;招式紀錄５４
1185;TR55;TP55;DT55;DT55;DT55;わざレコード５５;기술레코드55;招式记录５５;招式紀錄５５
1186;TR56;TP56;DT56;DT56;DT56;わざレコード５６;기술레코드56;招式记录５６;招式紀錄５６
